"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Topic 1","贼","妙玉","惜春","开门","衙门","琥珀","女尼","彩屏","师父","送殡"
"Topic 2","姨太太","姨妈","妈妈","妈","叔叔","外甥","上学","懂得","棋","题目"
"Topic 3","鸳鸯","李纨","琥珀","平儿","生日","榻","彩霞","糊","盒子","菜"
"Topic 4","雨","村","读书","学生","道人","来历","名唤","海","僧","袭"
"Topic 5","带领","林之孝家的","绣","厅","榻","贾赦","供","皮","歇息","子弟"
"Topic 6","祭","牌","车","供","照管","执事","铁槛寺","进城","粥","诰命"
"Topic 7","翠缕","女孩子","扇子","撕","阴阳","踢","评","榻","跌","抿"
"Topic 8","贾赦","奏","王爷","抄","大人","旨意","姑爷","巧姐","心想","皇上"
"Topic 9","女子","谈","芙蓉","歌","迷","针线","蠢物","对联","呼","谓"
"Topic 10","剪","爷爷","手帕","砸","烫","鞋","小姐","知己","性子","一行"
"Topic 11","探春","李纨","妈妈","厅","拉扯","舅舅","大人","调养","灯笼","忧"
"Topic 12","黛玉","嬷嬷","舅母","携","奶","外祖母","奶娘","衔","拜见","茜雪"
"Topic 13","衙门","知县","喝酒","审","粮","呈","讲究","供","县","衙役"
"Topic 14","唱","坠儿","纱","饮","罚","教训","茗烟","裁","桌子","楼"
"Topic 15","和尚","姑子","文章","惜春","贾环","侄儿","神仙","师父","绞","修行"
"Topic 16","晴雯","麝月","嬷嬷","包","大夫","袭人","披","考","启","镯子"
"Topic 17","画","黛玉","扇子","游玩","染","读","雇","凉","买卖","琴"
"Topic 18","大夫","先生","娘娘","方子","肝","劫","姑奶奶","灾","支持","脉息"
"Topic 19","婶子","侄儿","太爷","婶婶","尤氏","车","假意","一家子","冲","厢房"
"Topic 20","莺儿","妈","编","平","汤","菜","烫","姑妈","采","尝"
"Topic 21","题","拟","匾","歇息","沁","对联","桥","不负","陈设","荡"
"Topic 22","弟","琏二奶奶","张罗","剑","劝解","兴儿","亲事","道士","进京","道谢"
"Topic 23","贾赦","车","贴","道士","卦","当铺","呈","升","喜事","女尼"
"Topic 24","芳官","五儿","彩云","柳家的","林之孝家的","藕官","蕊官","厨房","干娘","鸡蛋"
"Topic 25","茗烟","烟道","读书","子弟","上学","太爷","助","欺负","家塾","嬷嬷"
"Topic 26","黛玉","紫鹃","雪雁","烟","痰","点点","撂","闭","林之孝家的","姨太太"
"Topic 27","贾芸","二爷","叔叔","婶娘","舅舅","婶子","师父","秋纹","叔","爷爷"
"Topic 28","二爷","咧","搭讪","咬","盼","虽说是","拆开","递给","敷","汤"
"Topic 29","掷","饮","生日","罚","输","射","烟","拈","摇","香菱"
"Topic 30","贾蔷","墙","镜子","唱","读","贾琏","招手","打趣","景况","盼"
"Topic 31","搜","绣","赎","惜春","女孩子","抄","入画","小姐","故事","大姐"
"Topic 32","袭人","活计","昏","手帕","果子","拔","轰","秋纹","拭泪","猜"
"Topic 33","太监","戏","启","荷包","省亲","赋","殿","更衣","贾赦","贾蔷"
"Topic 34","周瑞家的","刘姥姥","姑奶奶","板儿","姥姥","花儿","小姐","果子","李纨","狗儿"
"Topic 35","姐","姨","老娘","叔叔","浪","兴儿","心腹","醋","聘","亲家"
"Topic 36","宝蟾","薛蝌","香菱","汤","捆","姨太太","验","亲家","贴","果子"
"Topic 37","照看","辛苦","世交","公子","桂花","脂粉","小姐","学问","进京","买办"
"Topic 38","戏","老祖宗","猜","斟","生日","小姐","唱","果子","取乐","娘娘"
"Topic 39","签","门子","打死","叔","舅舅","菩萨","升","姨","官司","房舍"
"Topic 40","诗","李纨","黛玉","探春","社","韵","雪","罚","螃蟹","海棠"
